Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,12,224.5,79.024,,,2.84,4.2,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,13,274.5,78.75733333,,,2.84,4.3,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,174.5,78.75733333,,,2.84,4.3,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,174.5,77.69066667,,,2.84,4.7,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,224.5,77.424,,,2.84,4.8,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,274.5,76.89066667,,,2.84,5,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,10,224.5,76.09066667,,,2.84,5.3,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,20,274.5,75.824,,,2.84,5.4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,3,274.5,75.824,,,2.84,5.4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,20,54.5,71.55733333,,,2.84,7,0,paper
Merlangius merlangus,"Spitz, J., Mourocq, E., Schoen, V. & Ridoux, V. (2010) Short Communication Proximate composition and energy content of forage species from the Bay of Biscay: high- or low-quality food? ICES-short communication, 909_915.",46,-3,,227,30,24,205.095174,79.5,16.7,0.7,2.9,3.9,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,300,64.5,81.20512821,,,2.62,3.7,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,,64.5,80.35042735,,,2.62,4,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,240,89.5,79.78062678,,,2.62,4.2,0,paper
