SpecCode	Species	Weight
25234	Metapenaeus ensis	18
57943	Metasepia tullbergi	40
69576	Mirounga angustirostris	2200000
69575	Mirounga leonina	5000000
60737	Mnemiopsis leidyi	0.97
69569	Monachus monachus	400000
69571	Monachus schauinslandi	200000
69570	Monachus tropicalis	270000
69409	Monodon monoceros	1600000
73558	Morus bassanus	3070
81078	Morus capensis	2700
81079	Morus serrator	2300
67292	Natator depressa	84000
57834	Nautilus belauensis	1308
58002	Nautilus pompilius	1675
89889	Nemopilema nomurai	200000
137203	Neptunea arthritica	92.5
21048	Neolithodes diomedeae	1043
69420	Neophoca cinerea	300000
73572	Nesofregetta fuliginosa	115
57664	Nototodarus gouldi	800
86958	Nototodarus philippinensis	200
57261	Nototodarus sloanii	1800
73552	Oceanites gracilis	30
73551	Oceanites oceanicus	38
73542	Oceanodroma castro	40
73538	Oceanodroma furcata	60
73540	Oceanodroma homochroa	39
73547	Oceanodroma hornbyi	50
73539	Oceanodroma leucorhoa	50
73548	Oceanodroma markhami	60
73549	Oceanodroma matsudairae	62
73544	Oceanodroma melania	59
84256	Oceanodroma microsoma	20
73546	Oceanodroma monorhis	40
73543	Oceanodroma tethys	20
73545	Oceanodroma tristrami	84
58197	Octopus bimaculatus	3000
58198	Octopus bimaculoides	800
58194	Octopus briareus	1500
58199	Octopus californicus	600
57444	Octopus conispadiceus	4000
57253	Octopus cyanea	6000
86984	Octopus dollfusi	200
2381250	Octopus insularis	1300
58208	Octopus maya	5000
57247	Octopus mimus	4000
58191	Octopus rubescens	400
57884	Octopus salutii	750
57249	Octopus tetricus	1000
58190	Octopus vulgaris	10000
68962	Odobenus rosmarus	1883000
58132	Ommastrephes bartramii	1800
69572	Ommatophoca rossii	204000
74528	Onychoprion aleuticus	120
75101	Onychoprion anaethetus	131
74529	Onychoprion fuscatus	180
74146	Onychoprion lunatus	140
57439	Onychoteuthis borealijaponica	1.10000002384186
155710	Onykia robusta	50000
57961	Opisthoteuthis massyae	5650
93164	Oratosquillina anomala	47
69400	Orcinus orca	10000000
69418	Otaria flavescens	350000
26027	Pacifastacus leniusculus	175
73786	Pachyptila belcheri	137
73469	Pachyptila crassirostris	126.300003051758
73787	Pachyptila desolata	156.399993896484
73791	Pachyptila salvini	166
73789	Pachyptila turtur	140
73790	Pachyptila vittata	240
73474	Pagodroma nivea	294
75083	Pagophila eburnea	616
71169	Pagophilus groenlandicus	135000
154456	Pagurus comptus	0.65
15022	Palinurus delagoae	1978
25897	Pandalus platyceros	120
49109	Panopea abrupta	2768
80797	Panopea japonica	800
73555	Papasula abbotti	1460
26512	Paralithodes platypus	4500
83802	Paralomis formosa	232
83803	Paralomis granulosa	1500
83804	Paralomis spinosissima	559
83493	Pearsonothuria graeffei	1300
73537	Pelagodroma marina	70
73574	Pelecanoides garnotii	202
73575	Pelecanoides georgicus	123.599998474121
73576	Pelecanoides magellani	160
73577	Pelecanoides urinatrix	146.600006103516
73584	Pelecanus conspicillatus	6800
73585	Pelecanus crispus	10000
73581	Pelecanus erythrorhynchos	5900
73582	Pelecanus occidentalis	3200
73586	Pelecanus onocrotalus	9000
73587	Pelecanus philippensis	4650
73588	Pelecanus rufescens	6200
84204	Pelecanus thagus	3200
14598	Penaeus californiensis	81
14604	Penaeus indicus	35
14613	Penaeus japonicus	80
14922	Penaeus latisulcatus	60
14826	Penaeus longistylus	35
14605	Penaeus merguiensis	50
25353	Penaeus monodon	250
25354	Penaeus semisulcatus	130
69396	Peponocephala electra	275000
151712	Phalaropus fulicarius	45
155063	Phalaropus lobatus	45
73578	Phaethon aethereus	700
73579	Phaethon lepturus	320
73580	Phaethon rubricauda	850
74902	Phaetusa simplex	247
84161	Phalacrocorax africanus	780
73566	Phalacrocorax albiventer	2910
84334	Phalacrocorax aristotelis	1600
84170	Phalacrocorax atriceps	2841.39990234375
84098	Phalacrocorax auritus	2600
83757	Phalacrocorax bougainvillii	1800
84099	Phalacrocorax brasilianus	1070
84168	Phalacrocorax campbelli	2000
84150	Phalacrocorax capensis	1310
73479	Phalacrocorax capillatus	3100
73559	Phalacrocorax carbo	2500
84074	Phalacrocorax carunculatus	2500
84075	Phalacrocorax chalconotus	3880
84335	Phalacrocorax featherstoni	1330
84051	Phalacrocorax fuscescens	0
84100	Phalacrocorax fuscicollis	790
84336	Phalacrocorax gaimardi	1300
84172	Phalacrocorax georgianus	2883.19995117188
84052	Phalacrocorax harrisi	3390
84162	Phalacrocorax melanoleucos	900
84053	Phalacrocorax neglectus	1800
84163	Phalacrocorax niger	530
84151	Phalacrocorax nigrogularis	0
84077	Phalacrocorax onslowi	1790
84338	Phalacrocorax pelagicus	1868
84054	Phalacrocorax penicillatus	2300
84339	Phalacrocorax punctatus	1600
84215	Phalacrocorax purpurascens	2910
84164	Phalacrocorax pygmaeus	640
84078	Phalacrocorax ranfurlyi	2900
84101	Phalacrocorax sulcirostris	1200
84340	Phalacrocorax urile	2050
84102	Phalacrocorax varius	1900
84173	Phalacrocorax verrucosus	2630
68963	Phoca largha	123000
68964	Phoca vitulina	150000
69417	Phocarctos hookeri	400000
69402	Phocoena phocoena	70000
69405	Phocoena spinipinnis	85000
69407	Phocoenoides dalli	200000
76262	Phoebastria albatrus	0
76263	Phoebastria immutabilis	2850
81744	Phoebastria irrorata	2300
76264	Phoebastria nigripes	3000
73742	Phoebetria fusca	2600
73743	Phoebetria palpebrata	3016.39990234375
68882	Physeter macrocephalus	57000000
57384	Pinnoctopus cordiformis	2250
69371	Platanista gangetica	108000
73605	Polysticta stelleri	807.5
83693	Pontastacus leptodactylus	178.93
69370	Pontoporia blainvillei	34000
73471	Procellaria aequinoctialis	1253.59997558594
82323	Procellaria cinerea	1090.30004882813
84225	Procellaria conspicillata	0
73472	Procellaria parkinsoni	680
73473	Procellaria westlandica	1200
76998	Procelsterna cerulea	45
82329	Pseudobulweria aterrima	216
82330	Pseudobulweria becki	0
82331	Pseudobulweria macgillivrayi	0
82332	Pseudobulweria rostrata	0
69398	Pseudorca crassidens	2000000
73767	Pterodroma alba	270
73764	Pterodroma arminjoniana	460
84236	Pterodroma atrata	0
73773	Pterodroma axillaris	200
73774	Pterodroma baraui	400
