SpecCode	Species	Weight
47	Belone belone	1418
23546	Bembrops caudimacula	94
6589	Benthosema suborbitale	0.6000000238418579
2556	Beringraja binoculata	91000
1319	Beryx decadactylus	4000
1320	Beryx splendens	4000
12232	Bidyanus bidyanus	1500
12291	Biotodoma cupido	55.31999969482422
51223	Bivibranchia fowleri	68
51891	Bivibranchia velox	42
69503	Bleekeria murtii	17.899999618530273
4471	Blicca bjoerkna	1000
6580	Bodianus bilunulatus	1812
8270	Bodianus diplotaenia	9000
7734	Bodianus perditio	312
1067	Bodianus rufus	1020
15224	Boesemania microlepis	18000
5537	Bolbometopon muricatum	46000
4901	Boleophthalmus boddarti	30.200000762939453
15864	Boleophthalmus pectinirostris	91.4000015258789
7405	Bolinichthys distofax	10.100000381469727
11875	Bolinichthys indicus	1.2999999523162842
11876	Bolinichthys photothorax	5.5
203	Boops boops	455
25014	Bothrocarina nigrocaudata	620
7641	Bothus mancus	1750
207	Bothus podas	700
24689	Botia birdi	55.20000076293945
24691	Botia histrionica	17.5
27228	Boulengerella cuvieri	6000
12404	Boulengerella lateristriga	74.69999694824219
12406	Boulengerella lucius	640
6008	Boulengerochromis microlepis	4500
59309	Bovichtus diacanthus	87
8312	Brachirus orientalis	600
25290	Brachirus pan	21.559999465942383
51085	Brachychalcinus copei	11
2079	Brachymystax lenok	8000
62217	Brachyplatystoma capapretum	32660
6420	Brachyplatystoma filamentosum	200000
7555	Brachyplatystoma vaillantii	20000
67874	Brachypterois curvispina	26
9203	Brachypterois serrulata	29
391	Brama brama	6000
3555	Brama japonica	2700
3556	Brama orcini	663
4593	Branchiostegus japonicus	1250
4935	Branchiostegus semifasciatus	1500
13150	Brevitrygon imbricata	590
51	Brosme brosme	30000
486	Brotula barbata	8520
13122	Brustiarius solidus	1750
5239	Brycinus brevis	300
5238	Brycinus imberi	300
5231	Brycinus leuciscus	10
5240	Brycinus macrolepidotus	2000
5235	Brycinus nurse	200
14157	Brycon atrocaudatus	1000
53011	Brycon behreae	2273
14171	Brycon falcatus	2720
62240	Brycon gouldingi	2597.199951171875
51335	Bryconamericus iheringii	22.399999618530273
62327	Bryconamericus ikaa	6.699999809265137
1222	Calamus calamus	680
1226	Calamus nodosus	2630
1227	Calamus penna	1000
51327	Bryconamericus stramineus	19.899999618530273
12344	Bryconops caudomaculatus	20.100000381469727
53045	Bryconops giacopinii	46.29999923706055
3777	Bryozoichthys lysimus	150
53	Buglossidium luteum	53.279998779296875
8035	Butis butis	18.950000762939453
25639	Caenotropus labyrinthicus	90.12999725341797
50344	Caenotropus mestomorgmatos	94
918	Caesio caerulaurea	1634
1221	Calamus bajonado	10610
3573	Calamus brachysomus	2300
10922	Callichthys callichthys	140
13070	Callionymus beniteguri	49.79999923706055
55180	Callionymus curvicornis	33.900001525878906
59457	Callionymus doryssus	21.399999618530273
25832	Callionymus lunatus	36.400001525878906
1784	Callionymus risso	38.599998474121094
25831	Callionymus valenciennei	26.799999237060547
167	Callorhinchus capensis	5250
1894	Campogramma glaycos	2800
5076	Campylomormyrus tamandua	500
61171	Carassioides acuminatus	500
270	Carassius carassius	3000
6376	Carassius gibelio	3000
23615	Carassius langsdorfii	1140
857	Carcharhinus acronotus	18860
858	Carcharhinus albimarginatus	162200
4279	Canthidermis sufflamen	6120
6578	Canthigaster solandri	32.15999984741211
24686	Canthophrys gongota	17.8799991607666
56223	Capoeta aculeata	695.0999755859375
62914	Capoeta banarescui	838
55303	Capoeta buhsei	150.10000610351562
67903	Capoeta coadi	66.4000015258789
55343	Capoeta fusca	25.899999618530273
68539	Capoeta razii	109.9000015258789
8725	Capoeta sevangi	2500
1916	Carangoides armatus	3500
4441	Carangoides chrysophrys	4350
1925	Carangoides dinema	2600
1921	Carangoides ferdau	8000
1926	Carangoides fulvoguttatus	18000
1905	Carangoides gymnostethus	14500
1913	Caranx bartholomaei	14000
1900	Caranx caballus	2810
1901	Caranx caninus	17690
1933	Caranx crysos	5050
1898	Caranx heberi	12500
71	Caranx hippos	32000
1895	Caranx ignobilis	80000
1935	Caranx latus	13380
1936	Caranx lugubris	17940
1906	Caranx melampygus	43540
6360	Caranx papuensis	6400
1899	Caranx rhonchus	1000
1918	Caranx ruber	8200
1917	Caranx sexfasciatus	18000
1928	Caranx tille	7200
859	Carcharhinus altimus	167800
861	Carcharhinus amblyrhynchos	33700
864	Carcharhinus brachyurus	304600
865	Carcharhinus brevipinna	89700
868	Carcharhinus falciformis	346000
870	Carcharhinus galapagensis	85450
873	Carcharhinus leucas	316500
874	Carcharhinus limbatus	122750
875	Carcharhinus longimanus	167370
878	Carcharhinus obscurus	346540
879	Carcharhinus perezii	69850
880	Carcharhinus plumbeus	117930
883	Carcharhinus signatus	76650
884	Carcharhinus sorrah	28000
15721	Carcharhinus tilstoni	52000
747	Carcharias taurus	158810
24141	Careproctus colletti	1200
4179	Careproctus melanurus	1700
51484	Careproctus zachirus	500
4945	Carlarius gigas	50000
4928	Carlarius heudelotii	8500
48618	Cetopsis coecutiens	280
47822	Cetopsorhamdia nasus	12.199999809265137
90	Cetorhinus maximus	4000000
5538	Cetoscarus bicolor	2415
2957	Carpiodes carpio	4590
4775	Carpiodes cyprinus	2940
25843	Caspiomyzon hellenicus	7.400000095367432
8718	Caspiomyzon wagneri	206
13472	Cathorops dasycephalus	393.1000061035156
13491	Cathorops fuerthii	306.1000061035156
960	Cathorops spixii	97.5
13502	Cathorops tuyra	314
12060	Catlocarpio siamensis	300000
2962	Catostomus catostomus	3300
2965	Catostomus commersonii	2940
2970	Catostomus latipinnis	920
8276	Caulolatilus affinis	680
984	Caulolatilus cyanops	11000
987	Caulolatilus microps	7000
3539	Caulolatilus princeps	5760
15376	Caulolatilus williamsi	1310
3363	Centrarchus macropterus	560
14129	Centroberyx affinis	2000
47646	Centrochir crocodili	247.5
47722	Centromochlus heckelii	44.869998931884766
53667	Centromochlus musaicus	3.369999885559082
651	Centrophorus moluccensis	2400
655	Centrophorus uyato	7340
10975	Centropomus armatus	1027.2900390625
1013	Centropomus ensiferus	1025
6429	Centropomus medius	3150
6428	Centropomus nigrescens	26190
1014	Centropomus parallelus	5000
1015	Centropomus pectinatus	1507
1016	Centropomus poeyi	9000
10978	Centropomus robalito	626
345	Centropomus undecimalis	24320
10981	Centropomus unionensis	1114.1400146484375
6430	Centropomus viridis	21540
361	Centropristis striata	4300
662	Centroscymnus coelolepis	10100
666	Centroscymnus owstonii	21300
12	Cephalopholis cruentata	1130
6448	Cephalopholis leopardus	35.63999938964844
6453	Cephalopholis sexmaculata	7000
6981	Ceratoscopelus warmingii	11.399999618530273
547	Cetengraulis edentulus	140.5800018310547
473	Chaenocephalus aceratus	3700
25776	Chaetobranchus flavescens	248
1024	Chaetodipterus faber	9000
14300	Chaetodon lunulatus	191.24000549316406
50042	Chaetostoma leucomelas	310
50053	Chaetostoma milesi	98.9000015258789
50068	Chaetostoma thomsoni	90.19999694824219
27190	Chaetostoma yurubiense	151.3000030517578
23699	Chaeturichthys stigmatias	69.5999984741211
13158	Chagunius nicholsi	900
62332	Chalceus epakros	70
13124	Chalceus erythrurus	310
10622	Chalceus macrolepidotus	376
5133	Champsocephalus esox	270
474	Champsocephalus gunnari	2000
67146	Channa andrao	24
4799	Channa argus	8000
57932	Channa aurantimaculata	443.8999938964844
59754	Channa bleheri	26.200000762939453
50504	Channa gachua	286.8299865722656
5144	Channa marulius	30000
344	Channa micropeltes	20000
68643	Channa pseudomarulius	1430
13591	Channa stewartii	314.3999938964844
343	Channa striata	3000
477	Channichthys rhinoceratus	500
46610	Chanodichthys dabryi	947
4635	Chanodichthys erythropterus	9000
46706	Chanodichthys mongolicus	4000
80	Chanos chanos	14000
53060	Characidium caucanum	9.5
53066	Characidium chupa	11.199999809265137
61045	Characidium heinianum	2.7200000286102295
53059	Characidium phoxocephalum	20.899999618530273
12346	Charax gibbosus	30.399999618530273
51849	Charax metae	76.80000305175781
52530	Charax michaeli	260
1366	Chelidonichthys lucerna	6640
4598	Chelidonichthys spinosus	950
60291	Chelidoperca investigatoris	55
66969	Chelidoperca occipitalis	3.5999999046325684
1735	Chelon auratus	2500
53078	Charax tectifer	60
2983	Chasmistes cujus	2720
2714	Chauliodus macouni	23.350000381469727
5480	Chauliodus schmidti	32.20000076293945
54263	Chaunax suttkusi	359
5600	Cheilinus fasciatus	172.8300018310547
5604	Cheilinus undulatus	191000
6090	Cheilobarbus capensis	3407
6095	Cheilobarbus serra	7000
461	Cheilodactylus variegatus	1035
3580	Cheilotrema saturnum	700
13220	Chela cachius	9.930000305175781
507	Chelidonichthys kumu	1500
2499	Chelon labrosus	4500
4583	Chelon ramada	2900
5513	Chelon tricuspidens	3110
5357	Chetia flaviventris	815
10779	Chilodus punctatus	70.5
6407	Chilomycterus schoepfii	630
57956	Chilomycterus spinosus	12.210000038146973
5901	Chiloscyllium arabicum	645
68246	Chimaera carophila	4805
2503	Chimaera monstrosa	2500
7109	Chionodraco hamatus	633
7110	Chionodraco myersi	428
476	Chionodraco rastrospinosus	499.20001220703125
1645	Chirocentrodon bleekerianus	19.299999237060547
1452	Chirocentrus nudus	410
50255	Chirostoma arge	8.279999732971191
52511	Cleisthenes pinetorum	1215
3656	Clepticus parrae	320
48355	Chirostoma chapalae	12
50259	Chirostoma consocium	7.309999942779541
62525	Chirostoma contrerasi	8.720000267028809
48356	Chirostoma estor	540
12002	Chirostoma jordani	8.050000190734863
48412	Chirostoma labarcae	6.659999847412109
62904	Chitala hypselonotus	15000
27034	Chitala ornata	4950
60607	Chlorophthalmus brasiliensis	91.5
10704	Chlorophthalmus nigromarginatus	91
385	Chloroscombrus chrysurus	32
4979	Chlorurus gibbus	4000
4978	Chlorurus japanensis	2220
60479	Chlorurus microrhinos	5400
7829	Chlorurus perspicillatus	7000
66478	Chlorurus spilurus	2738
10848	Choerodon cephalotes	365
6433	Choerodon schoenleinii	15500
51789	Chondrostoma angorense	137
4878	Chondrostoma nasus	1500
51797	Chondrostoma regium	1000
6387	Choridactylus multibarbus	64
3151	Chriodorus atherinoides	84.19999694824219
10897	Chromobotia macracanthus	469
9294	Chrysichthys brachynema	7700
9296	Chrysichthys cranchii	135000
5528	Chrysoblephus anglicus	6600
6002	Chrysoblephus cristiceps	7300
6003	Chrysoblephus gibbiceps	5800
5529	Chrysoblephus laticeps	4200
46777	Cichla intermedia	3000
62991	Cichla kelberi	4900
62988	Cichla melaniae	710
13270	Cichla monoculus	9000
457	Cichla ocellaris	6800
46779	Cichla orinocensis	6220
62994	Cichla piquiti	1790
62992	Cichla pleiozona	2400
6461	Cichla temensis	12240
25778	Cichlasoma amazonarum	115.9000015258789
46781	Cichlasoma araguaiense	151.97000122070312
4494	Cirrhinus cirrhosus	12700
27149	Cirrhinus microlepis	5000
49051	Cirrhinus molitorella	500
66743	Cirrhinus mrigala	12700
6408	Cirrhitus rivulatus	4160
13942	Citharichthys gilberti	258
4216	Citharichthys spilopterus	99.4000015258789
5266	Citharidium ansorgii	9120
5267	Citharinops distichodoides	4600
5269	Citharinus citharus	7000
11267	Citharinus gibbosus	4400
5268	Citharinus latus	2500
9457	Clariallabes platyprosopos	128
2098	Clarias agboyiensis	178
376	Clarias anguillaris	7000
3054	Clarias batrachus	1190
13394	Clarias brachysoma	3630
2105	Clarias ebriensis	240
