Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
231,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,Heteromyidae,Dispersal,Distance,87,m,Maximum,Running,135.88,g,Metastudy,Whitmee & Orme. 2013,Jones et al. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
232,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,Heteromyidae,Dispersal,Distance,16,m,Maximum,Running,135.88,g,Metastudy,Whitmee & Orme. 2013,Jones et al. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
233,Lynx rufus,Lynx rufus,Mammalia,Felidae,Dispersal,Distance,85000,m,Maximum,Running,8904.1,g,Metastudy,Whitmee & Orme. 2013,Kamler et al. 2000,Wilman et al 2014,Inferred from Class:  Mammalia
236,Peromyscus leucopus,Peromyscus leucopus,Mammalia,Cricetidae,Dispersal,Distance,282,m,Maximum,Running,21.17,g,Metastudy,Whitmee & Orme. 2013,Keane. 1990,Wilman et al 2014,Inferred from Class:  Mammalia
237,Peromyscus leucopus,Peromyscus leucopus,Mammalia,Cricetidae,Dispersal,Distance,201,m,Maximum,Running,21.17,g,Metastudy,Whitmee & Orme. 2013,Keane. 1990,Wilman et al 2014,Inferred from Class:  Mammalia
240,Lynx rufus,Lynx rufus,Mammalia,Felidae,Dispersal,Distance,NA,m,Maximum,Running,8904.1,g,Metastudy,Whitmee & Orme. 2013,Knick. 1990,Wilman et al 2014,Inferred from Class:  Mammalia
242,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,NA,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
243,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,NA,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,Wilman et al 2014,Inferred from Class:  Mammalia
246,Vulpes macrotis,Vulpes macrotis,Mammalia,Canidae,Dispersal,Distance,NA,m,Maximum,Running,4499.97,g,Metastudy,Whitmee & Orme. 2013,Koopman et al. 2000,Wilman et al 2014,Inferred from Class:  Mammalia
253,Peromyscus leucopus,Peromyscus leucopus,Mammalia,Cricetidae,Dispersal,Distance,1000,m,Maximum,Running,21.17,g,Metastudy,Whitmee & Orme. 2013,Lackey et al. 1985,Wilman et al 2014,Inferred from Class:  Mammalia
255,Vulpes rueppellii,Vulpes rueppellii,Mammalia,Canidae,Dispersal,Distance,48000,m,Maximum,Running,3249.97,g,Metastudy,Whitmee & Orme. 2013,Lariviere & Seddon. 2001,Wilman et al 2014,Inferred from Class:  Mammalia
259,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,66000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,Wilman et al 2014,Inferred from Class:  Mammalia
260,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,241000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,Wilman et al 2014,Inferred from Class:  Mammalia
264,Equus caballus,Equus caballus,Mammalia,Equidae,Dispersal,Distance,1990,m,Maximum,Running,250000,g,Metastudy,Whitmee & Orme. 2013,Linklater & Cameron. 2009,Wilman et al 2014,Inferred from Class:  Mammalia
267,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,14000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,Wilman et al 2014,Inferred from Class:  Mammalia
268,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,274000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,Wilman et al 2014,Inferred from Class:  Mammalia
279,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,212600,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
280,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,161000,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
281,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,56000,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
282,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,40600,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
283,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,35800,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
284,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,31500,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
285,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,22000,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
286,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Distance,7100,m,Maximum,Running,55508.56,g,Metastudy,Whitmee & Orme. 2013,Long et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
298,Cerdocyon thous,Cerdocyon thous,Mammalia,Canidae,Dispersal,Distance,2900,m,Maximum,Running,5239.98,g,Metastudy,Whitmee & Orme. 2013,Macdonald & Courtenary. 1996,Wilman et al 2014,Inferred from Class:  Mammalia
300,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Mammalia,Sciuridae,Dispersal,Distance,762,m,Maximum,Running,131.67,g,Metastudy,Whitmee & Orme. 2013,McCarley. 1966,Wilman et al 2014,Inferred from Class:  Mammalia
