db,original,gbif.binomial,gbif.key,rank,status,matchType,phylum,class,family,genus,species
dispdb,Spermophilus tridecemliniatu s,Spermophilus tridecemlineatus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus
dispdb,Perognathus formosa,Perognathus formosus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Heteromyidae,Chaetodipus,Chaetodipus formosus
dispdb,Clethrionomys glareolus,Clethrionomys glareolus,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Mammalia,Cricetidae,Myodes,Myodes glareolus
dispdb,Cervus canadensis,Cervus canadensis,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Cervidae,Cervus,Cervus elaphus
dispdb,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dispdb,Many bark beetles and parasitoids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dispdb,Oplocephala haemorrhoidalis,Oplocephala haemorrhoidalis,NA,SPECIES,SYNONYM,NA,Arthropoda,Insecta,Tenebrionidae,Neomida,Neomida haemorrhoidalis
dispdb,Mesotriton alpestris,Mesotriton alpestris,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Salamandridae,Ichthyosaura,Ichthyosaura alpestris
dispdb,Pelophylax esculentus,Pelophylax esculentus,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Pelophylax,Pelophylax lessonae
dispdb,Canis rufus,Canis rufus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Canidae,Canis,Canis lupus
dispdb,Hydrochaeris hydrochaeris,Hydrochaeris hydrochaeris,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris
dispdb,Spermophilus franklinii,Spermophilus franklinii,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Poliocitellus,Poliocitellus franklinii
dispdb,Spermophilus columbianus,Spermophilus columbianus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Urocitellus,Urocitellus columbianus
dispdb,Spermophilus parryii plesius,Spermophilus parryii,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Urocitellus,Urocitellus parryii
dispdb,Spermophilus variegatus,Spermophilus variegatus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Otospermophilus,Otospermophilus variegatus
dispdb,Spermophilus townsendii ,Spermophilus townsendii,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Urocitellus,Urocitellus townsendii
dispdb,Spermophilus mohavensis,Spermophilus mohavensis,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Xerospermophilus,Xerospermophilus mohavensis
dispdb,Spermophilus tridecemliniatus,Spermophilus tridecemlineatus,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus
